Ticker,Industry,Sector,Fiscal_Year_End,ROE,Annual_EPS,Annual_EPS_Growth,Annual_Net_Income_Growth,Annual_Basic_Shares_Outstanding,Annual_Sales_Growth,Quarter_EPS,Quarter_EPS_Growth,Quarter_Net_Income_Growth,Quarter_Net_Margin,Quarter_Sales_Growth,Total_Shareholders_Equity,Liabilities_&_Shareholders_Equity,Net_Operating_Cash_Flow
ACET,Pharmaceuticals: Major,Health Technology,12/2023,-23.44,(1.70) (2.00) (5.01) (13.15) (9.96),15.19% 60.02% 61.91% -32.10% -,-12.57% -69.04% -30.35% 25.19% -,41080.3 30952.2 7320.0 2139.0 3777.0,156.83% -45.65% 1699.30% 0.00% -,(1.16) (0.75) (0.72) (0.72) (0.53),-53.86% -4.92% -0.22% -35.80% -,-53.95% -4.93% -3.37% -35.82% -,-279.27% - - - -,292338.0 303129.0 109827.0 (60366.0) 104204.0,330690.0 338938.0 153835.0 81587.0 109939.0,(45129.0) (51313.0) (41709.0) (27882.0) (36420.0)
ACHC,Medical/Nursing Services,Health Services,12/2023,10.249,2.98 2.10 (7.59) 1.24 (2.01),42.08% 127.68% -711.63% 161.60% -,34.37% 44.93% 169.15% 129.65% -,90 89 88 88 87,12.79% 10.74% 4.06% -33.33% -,(2.39) 0.79 0.72 0.67 0.78,-402.36% 9.35% 8.57% -14.18% -,-401.12% 9.52% 8.00% -14.03% -,10.46% - - - -,2.60% 3.84% 4.29% 1.28% -,2813 2517 1899 2505 2333,4988 4768 6499 6879 6173,380569.0 374477.0 658807.0 332904.0 414080.0
ACHL,Pharmaceuticals: Major,Health Technology,12/2023,-29.238,- - - - -          - - - - -        Basic Shares Outstanding 39139.7 28654.8 - - -,-16.43% -82.60% -138.17% 0.00% -,(0.41) - - - -,0.00% - - - -,1.86% 4.33% 27.11% -95.93% -,- - - -,197044.0 289528.0 189372.0 101348.0 -,220358.0 317106.0 218918.0 105205.0 -,(59498.3) (59276.9) (25448.4) (14200.5) -
ACHV,Pharmaceuticals: Major,Health Technology,12/2023,-233.044,(4.00) (4.08) (5.42) (39.76) (72.29),2.08% 24.64% 86.38% 44.99% -,-27.74% -125.06% 10.16% -29.23% -,10593.0 8119.8 2718.9 412.3 175.5,(0.34) (0.43) (0.50) (0.83) (1.35),22.22% 13.81% 39.52% 38.50% -,13.73% 8.37% 19.94% 14.11% -,- - - -,8303.0 28042.0 37286.0 18050.0 15802.0,29971.0 47516.0 40298.0 21078.0 19084.0,(37569.0) (29440.0) (13474.0) (15216.0) (10623.0)
ACIW,Packaged Software,Technology Services,12/2023,11.664,1.24 1.08 0.62 0.57 0.59,15.55% 75.05% 8.79% -3.46% -,11.26% 75.88% 8.35% -2.70% -,114 117 116 116 116,3.74% 5.89% 2.86% 24.61% -,0.35 (0.06) (0.30) 0.81 0.20,662.20% 79.28% -136.86% 300.74% -,664.99% 79.23% -135.81% 290.31% -,10.00% - - - -,12.28% 11.62% -35.88% 47.36% -,1193 1245 1207 1130 1048,3210 3159 3387 3258 2122,143381.0 220473.0 336302.0 137649.0 183932.0
ACLS,Industrial Machinery,Producer Manufacturing,12/2023,30.356,5.46 2.88 1.46 0.50 1.35,89.60% 96.56% 190.83% -62.68% -,85.58% 97.37% 193.42% -62.88% -,33043.0 33555.0 33257.0 32559.0 32286.0,38.88% 39.59% 38.37% -22.51% -,1.99 1.86 1.43 1.71 1.21,7.16% 29.51% -16.22% 41.73% -,7.07% 29.10% -16.31% 41.48% -,19.90% - - - -,6.70% 7.85% -4.52% 16.09% -,667 539 482 419 408,1021 759 631 556 548,209621.0 150190.0 69703.0 (13594.0) 46965.0
ACLX,Biotechnology,Health Technology,12/2023,-119.109,(4.28) (1.82) (0.96) (0.52) -,-135.31% -90.01% -85.18% 0.00% -,-190.41% -102.43% -78.58% 0.00% -,44106.0 35736.6 33543.5 34781.0 -,(0.81) (0.50) (0.58) (0.88) (2.12),-63.76% 15.19% 33.86% 58.27% -,-64.90% 12.76% 29.87% 58.02% -,- - - -,4.58% -20.15% 0.00% - -,204954.0 111864.0 50541.0 38722.0 -,313817.0 362161.0 57694.0 43588.0 -,(99303.0) (54238.0) (28662.0) (18772.0) -
ACMR,Industrial Machinery,Producer Manufacturing,12/2023,5.812,0.59 0.58 0.30 0.33 0.12,2.48% 95.50% -10.21% 169.09% -,3.99% 101.05% -0.60% 187.40% -,59236.0 57654.7 54700.1 50401.9 47365.4,49.69% 65.84% 45.66% 44.05% -,0.39 0.41 0.11 0.18 0.32,-5.68% 272.04% -39.70% -43.11% -,-4.27% 275.44% -39.50% -43.78% -,10.10% - - - -,16.59% 94.70% -31.59% -18.82% -,675 676 141 97 52,1236 1052 341 218 103,(62194.0) (40093.0) (12992.0) 9403.0 6909.0
ACNT,Steel,Non-Energy Minerals,12/2023,17.951,2.12 2.14 (3.00) (0.34) 1.48,-0.99% 171.45% -786.60% -122.91% -,8.99% 174.25% -798.12% -123.18% -,10230.0 9340.0 9099.0 8983.0 8806.1,23.73% 30.75% -16.11% 8.66% -,(1.77) (1.44) (0.51) 0.01 0.06,-22.94% -180.91% -4369.17% -79.87% -,-240.69% 27.91% -4259.20% -79.97% -,5.33% - - - -,-7.50% -26.42% 1.09% -18.58% -,134259.0 111590.0 80295.0 106511.0 102484.1,283752.0 278749.0 218057.0 270224.0 233919.8,5577.0 19055.0 17694.0 28640.0 (21221.5)
ACON,Packaged Software,Technology Services,12/2023,N/A,(1.23) (0.83) (0.76) (0.67) -,-47.79% -8.55% -13.20% 0.00% -,-42.79% -6.80% -15.33% 0.00% -,381.6 448.8 448.8 448.8 -,0.25% 23.93% 80.88% 0.00% -,(0.12) (0.18) (0.15) (0.10) (0.21),33.79% -18.51% -48.06% 51.77% -,31.86% -23.75% -49.43% 51.50% -,-11694.45% - - - -,11.67% -32.97% 13.10% 23.59% -,2226.0 (5729.3) (7083.6) (1701.9) -,2914.6 1889.5 1291.8 1430.4 -,(4949.1) (2349.9) (3795.4) (4171.2) -
ACOR,Pharmaceuticals: Major,Health Technology,12/2023,-53.862,(66.90) (195.75) (246.40) (689.42) 85.38,65.83% 20.55% 64.26% -907.50% -,36.59% -4.38% 63.51% -910.42% -,985.4 531.1 404.2 395.9 391.8,-8.14% -15.62% -20.50% -59.19% -,(7.16) (7.55) (13.83) 8.76 (11.41),5.25% 45.37% -257.87% 176.77% -,5.26% 44.24% -187.88% 238.18% -,-55.59% - - - -,-6.60% 33.32% -29.28% -6.08% -,94 151 238 311 612,439 538 719 900 1300,(20924.0) (41348.0) (62077.0) (132837.0) 150793.0
ACRS,Pharmaceuticals: Major,Health Technology,12/2023,-44.008,(1.33) (1.60) (1.20) (3.90) (4.03),16.79% -33.56% 69.29% 3.19% -,4.35% -77.63% 54.95% -38.29% -,65213.9 56730.6 42539.3 41323.9 32909.8,340.05% 4.30% 53.35% -31.28% -,(0.41) (0.42) (0.42) (0.41) (0.30),1.29% 0.59% -1.62% -38.50% -,1.04% -5.00% -1.90% -38.51% -,-292.11% - - - -,396.63% -26.07% -67.39% -59.23% -,197621.0 197341.0 37650.0 69912.0 215124.0,257958.0 251211.0 70784.0 98297.0 275566.0,(67567.0) (52134.0) (38633.0) (96445.0) (100811.0)
ACRV,Pharmaceuticals: Major,Health Technology,12/2023,-42.501,(1.42) (0.78) (0.25) - -,-82.59% -206.09% 0.00% - -,-91.88% -206.13% 0.00% - -,21920.6 20859.8 20859.8 - -,(0.66) (0.63) (0.58) (0.43) (0.44),-3.44% -8.83% -36.12% 2.93% -,-3.97% -9.08% -42.86% 2.92% -,- - - -,170475.0 (23809.0) (8413.0) - -,181226.0 106587.0 2185.0 - -,(30117.0) (13982.0) (2803.0) - -
ACRX,Pharmaceuticals: Major,Health Technology,12/2023,N/A,5.72 (5.86) (9.47) (13.45) (16.14),197.61% 38.17% 29.56% 16.71% -,221.13% 13.08% 24.16% -12.92% -,7385.3 5993.0 4262.9 3959.2 2920.4,-37.15% -47.97% 136.61% 6.42% -,(0.08) (0.40) (0.75) (1.00) (0.94),79.76% 46.53% 25.35% -6.62% -,67.98% -7018.75% 100.86% -10.87% -,2400.62% - - - -,-53.75% 0.00% 0.00% -50.30% -,21814.0 (35893.0) (55750.0) (41418.0) 4253.0,47487.0 77893.0 66295.0 91356.0 120533.0,(28331.0) (30002.0) (38505.0) (51180.0) (29075.0)
ACST,Pharmaceuticals: Major,Health Technology,03/2024,-48.153,(5.71) (1.60) (7.96) (14.48) (34.80),-256.84% 79.92% 45.01% 58.40% -,-332.11% 50.10% 22.87% 35.19% -,7435.5 6140.3 2471.4 1762.1 1131.0,- 0.00% 0.00% - -,(0.43) (0.54) (3.91) (0.52) (0.66),19.89% 86.17% -647.97% 21.21% -,18.64% 86.17% -647.93% 21.10% -,- - - -,67955.0 108270.0 55660.0 12994.0 11045.0,79123.0 128620.0 62458.0 22853.0 36896.0,(15913.0) (17234.0) (14319.0) (22944.0) (24787.0)
ACXP,Pharmaceuticals: Major,Health Technology,12/2023,-122.612,(1.12) (1.25) (0.46) (0.60) -,10.40% -168.98% 22.44% 0.00% -,5.14% -177.12% 22.44% 0.00% -,10816.4 10215.8 9916.2 9916.2 -,(0.24) (0.28) (0.25) (0.28) (0.32),15.28% -13.35% 11.21% 11.58% -,9.59% -18.68% 10.97% 7.94% -,- - - -,7315.0 12410.2 2701.6 819.9 -,9376.7 13254.2 3224.0 2531.4 -,(7542.3) (5013.7) (3351.6) (3985.3) -
ADBE,Packaged Software,Technology Services,11/2024,35.513,11.82 10.10 10.03 10.83 6.00,17.06% 0.73% -7.47% 80.45% -,14.13% -1.37% -8.33% 78.22% -,457 470 477 481 486,11.35% 10.31% 22.82% 15.57% -,3.23 3.06 2.82 2.71 2.52,5.67% 8.34% 4.07% 7.42% -,5.70% 8.34% 3.85% 6.04% -,27.97% - - - -,3.34% 1.64% 3.64% 4.11% -,16518 14051 14797 13264 10530,29779 27165 27241 24284 21210,- 7838 7230 5727 4422
ADD,Internet Software/Services,Technology Services,06/2024,-103.471,(4.13) (19.90) (4.84) (39.95) (98.52),79.25% -311.14% 87.89% 59.45% -,50.98% -701.03% -86.48% 22.39% -,9167.2 3880.6 1702.4 291.0 146.0,0.00% 143.50% 0.00% - -,(1.59) (81.10) (19.73) (0.17) (1.18),98.04% -311.05% -11814.49% 86.00% -,-110.82% 84.12% -14089.41% 88.42% -,- - - -,- 0.00% -24.83% 111.73% -,24716.4 48443.8 76950.5 6590.5 520.8,30042.2 53463.2 81075.2 7119.3 54165.0,(7878.7) (29403.1) (2804.0) (2535.1) (1076.1)
ADEA,Packaged Software,Technology Services,12/2023,16.764,(2.84) (0.53) 1.75 (1.27) (0.01),-435.56% -130.25% 237.49% -21476.27% -,349.55% -137.79% 334.71% -21536.68% -,104336.0 104735.0 82840.0 49120.0 48823.0,-49.99% -1.61% 218.50% -31.04% -,0.21 0.01 0.26 0.70 (3.72),1603.17% -95.07% -63.52% 118.85% -,1607.68% -95.11% -60.64% 118.96% -,31.53% - - - -,21.85% -29.06% 13.57% -51.03% -,301 1350 1457 548 619,1211 2470 2701 1048 1235,183023.0 230536.0 427603.0 169253.0 135133.0
ADES,Chemicals: Major Diversified,Process Industries,12/2023,-6.208,(0.48) 3.27 (1.13) 1.93 1.76,-114.77% 390.80% -158.24% 9.51% -,-114.76% 397.51% -157.20% 0.43% -,18453.0 18258.0 18044.0 18154.0 19901.0,2.69% 48.89% -3.89% 192.70% -,(0.07) (0.21) (0.32) (0.17) (0.13),68.04% 33.64% -95.22% -27.76% -,62.86% 22.00% -137.07% -32.46% -,-8.66% - - - -,45.90% -1.73% -11.12% -17.68% -,139979.0 147301.0 85210.0 108292.0 67947.0,192173.0 197413.0 156122.0 173799.0 167948.0,(2425.0) 77081.0 54048.0 62262.0 37286.0
ADI,Semiconductors,Electronic Technology,10/2024,9.203,6.55 5.25 3.46 3.28 3.65,24.70% 51.62% 5.58% -10.01% -,20.59% 97.68% 13.90% -10.22% -,502 519 397 369 369,2.43% 64.16% 30.61% -6.48% -,1.00 1.74 1.92 1.88 1.82,-42.82% -9.37% 2.17% 3.62% -,-43.17% -10.29% 1.68% 2.70% -,26.94% - - - -,-11.70% -5.71% 0.41% 0.06% -,35565 36465 37993 11998 11709,48794 50302 52322 21469 21393,4818 4475 2735 2008 2253
ADIL,Pharmaceuticals: Major,Health Technology,12/2023,-375.32,(12.71) (26.12) (21.85) (21.80) (61.10),51.34% -19.55% -0.23% 64.32% -,34.45% -78.31% -26.79% 26.14% -,1001.5 743.6 498.5 394.1 190.4,(1.18) 0.96 (2.75) (2.69) (3.02),-222.23% 135.02% -2.22% 11.13% -,10.74% 48.04% -1.37% 7.80% -,- - - -,3276.5 3507.8 3986.1 7140.6 4441.3,5878.8 7633.9 5491.4 7679.6 4699.3,(11186.0) (11949.4) (7633.2) (6338.6) (2498.4)
ADMA,Biotechnology,Health Technology,12/2023,-44.963,(0.33) (0.51) (0.88) (0.89) (1.45),35.11% 41.62% 1.01% 38.94% -,8.02% 5.41% -56.90% 26.56% -,197874.9 139578.5 86145.1 54348.1 45188.9,90.36% 91.72% 43.85% 72.79% -,0.01 (0.03) (0.03) (0.06) (0.08),138.46% 6.54% 49.25% 20.55% -,140.26% 6.16% 44.50% 17.91% -,-42.77% - - - -,11.89% 5.64% 13.87% 21.64% -,151974.2 141172.6 88249.4 26193.1 19770.4,348461.9 276252.7 207673.4 127090.7 88876.5,(59508.3) (112369.0) (102003.0) (76193.5) (62678.7)
ADN,Semiconductors,Electronic Technology,12/2023,-76.498,(1.44) (0.45) (0.38) - -,-222.01% -16.79% 0.00% - -,-262.21% -557.58% -208.64% 833.85% -,51528.7 45814.9 8135.1 - -,10.87% 700.86% 0.00% - -,(0.20) (0.41) (0.23) (0.92) (0.22),51.99% -77.31% 74.97% -314.82% -,45.74% -82.11% 74.83% -315.29% -,-948.54% - - - -,13.67% 13.82% -50.08% -18.42% -,64148.0 130201.8 (1793.5) 217008.4 214110.6,89588.0 163030.8 1894.1 226010.9 222076.1,(32125.0) (35837.0) (1425.1) (630.9) (114.1)
ADP,Data Processing Services,Technology Services,06/2024,101.33,8.21 7.00 6.07 5.70 5.24,17.21% 15.37% 6.48% 8.78% -,15.70% 13.48% 5.35% 7.58% -,414 419 426 431 435,9.18% 9.95% 2.85% 2.92% -,2.08 1.87 2.51 1.95 1.87,10.84% -25.33% 28.51% 4.55% -,10.65% -25.54% 28.29% 4.38% -,18.94% - - - -,0.77% -9.13% 12.23% 4.16% -,3509 3225 5670 5752 5400,50971 63068 48773 39166 41888,4208 3100 3093 3026 2688
ADSK,Packaged Software,Technology Services,01/2024,82.544,3.78 2.24 5.44 0.96 (0.37),68.63% -58.85% 464.30% 361.18% -,65.59% -58.86% 463.26% 365.47% -,216 220 219 220 219,12.43% 16.03% 16.40% 26.31% -,1.12 1.03 0.75 1.35 0.91,8.05% 38.53% -44.79% 47.98% -,8.56% 37.89% -45.05% 47.98% -,16.64% - - - -,5.42% 6.33% -3.48% 2.62% -,1145 849 966 (139) (211),9438 8607 7280 6179 4729,2071 1531 1437 1415 377
ADTH,Packaged Software,Technology Services,12/2023,21.835,0.32 0.31 0.19 - -,3.63% 64.92% 0.00% - -,11.96% 257.62% 0.00% - -,86223.0 85744.0 39531.3 - -,0.43% 36.65% 0.00% - -,(0.05) 0.09 (0.06) 0.08 0.06,-154.65% 245.90% -172.36% 32.64% -,-151.89% 254.74% -168.94% 32.33% -,17.66% - - - -,8.79% 15.04% -36.90% 37.77% -,155425.0 113299.0 61899.0 - -,195490.0 218583.0 126035.0 - -,13918.0 (6590.0) 17366.0 - -
ADTX,Biotechnology,Health Technology,12/2023,-359.391,(595.50) (4847.32) (1410.42) (2253.36) (2199.80),87.71% -243.68% 37.41% -2.43% -,40.37% -406.83% -56.99% -2.43% -,46.4 9.5 6.5 2.6 2.6,788.96% 0.00% - - -,(48.77) (36.79) (52.46) (75.68) (210.93),-32.57% 29.88% 30.67% 64.12% -,-71.52% 5.06% 26.87% -8.28% -,-2961.28% - - - -,-43.67% 1.17% 17.68% -42.56% -,5206.3 10180.8 11011.5 (2852.2) (1536.7),10735.2 16663.9 13096.5 123.5 115.7,(22392.0) (22278.1) (7221.0) (464.4) (386.3)
ADUS,Medical/Nursing Services,Health Services,12/2023,7.621,2.84 2.81 2.08 1.77 1.41,1.26% 35.28% 17.23% 25.31% -,1.99% 36.20% 28.37% 48.54% -,15861.0 15737.0 15596.0 13816.0 12049.0,10.02% 13.04% 17.88% 25.22% -,0.95 0.91 0.78 0.91 0.71,3.75% 17.27% -14.34% 27.31% -,3.76% 17.18% -14.14% 27.89% -,4.84% - - - -,4.13% 3.33% 1.84% 2.73% -,633540.0 574344.0 518676.0 475592.0 275533.0,937994.0 947585.0 924824.0 659168.0 367475.0,105110.0 39488.0 109411.0 12019.0 33203.0
ADV,Advertising/Marketing Services,Commercial Services,12/2023,-76.271,(4.33) 0.17 (0.79) 0.04 -,-2628.84% 121.75% -1894.08% 0.00% -,-2633.31% 131.00% -7220.13% 0.00% -,319 318 223 56 -,12.42% 14.15% 0.00% - -,(0.07) (0.03) (0.15) (4.45) 0.07,-177.78% 81.78% 96.67% -6858.73% -,-177.77% 81.59% 96.66% -6861.47% -,-34.09% - - - -,5.69% 2.48% -8.23% 4.92% -,1130 2490 2428 5 -,4262 5854 5777 21 -,121258.0 125991.0 345730.0 (1217.5) -
ADVM,Pharmaceuticals: Major,Health Technology,12/2023,-62.10,(1.56) (1.48) (1.38) (1.01) (1.18),-4.88% -7.56% -37.19% 14.98% -,-6.18% -23.86% -82.22% 11.21% -,99251.0 98039.0 85146.0 64102.0 61375.0,0.00% 0.00% 0.00% -84.49% -,(0.33) (0.31) (0.29) (0.33) (0.40),-4.13% -7.94% 11.57% 18.79% -,-4.36% -8.45% 11.24% 18.43% -,- - - -,- 0.00% 0.00% - -,181518.0 316185.0 434347.0 174957.0 201167.0,308372.0 439727.0 482567.0 222727.0 213495.0,(121304.0) (110759.0) (77751.0) (56756.0) (53964.0)
ADXN,Pharmaceuticals: Major,Health Technology,12/2023,-182.514,(0.46) (0.45) (0.48) (0.56) (0.07),-2.33% 6.64% 13.84% -692.21% -,-35.52% -19.39% 13.00% -798.63% -,45184.9 34119.7 26681.8 26428.3 23293.2,-50.77% -19.25% 28.27% -57.72% -,(0.03) (0.04) (0.04) (0.06) (0.09),8.63% 5.60% 35.78% 28.84% -,2.17% -11.13% 34.08% 11.10% -,-1439.78% - - - -,-47.91% 25.88% -16.17% 44.06% -,4909.7 16914.0 14544.9 25523.8 39240.7,8278.9 22524.6 20116.9 33028.7 42213.8,(16456.8) (14762.9) (12214.3) (9573.7) 1722.1
AEHL,Building Products,Producer Manufacturing,12/2023,-36.251,(1.03) (2.67) (9.51) (0.68) (42.25),61.55% 71.90% -1301.49% 98.39% -,50.18% 89.43% -1934.61% 97.83% -,8368.8 5147.7 2940.3 2025.2 1497.7,283.43% -58.17% -44.08% -37.03% -,0.31 (0.51) (0.75) (0.47) (2.51),160.89% 32.52% -60.89% 81.36% -,-296.44% 161.41% -61.88% 74.44% -,-3.47% - - - -,105.80% 4.11% -19.40% 233.53% -,150.6 7980.4 14885.6 39176.7 40202.5,15824.3 27907.9 34463.7 52009.6 53445.5,(2294.7) (1259.5) (45.3) 909.9 (942.1)
